Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,Attrition
31,Female,Sales,Sales Executive,3,Single,4078,3,19,Yes,No
56,Male,Research & Development,Sales Executive,2,Married,5905,2,23,No,No
44,Female,Sales,Human Resources,2,Single,1970,4,20,No,No
26,Male,Research & Development,Laboratory Technician,3,Single,3523,2,27,No,No
32,Male,Sales,Human Resources,1,Married,6546,2,22,Yes,No
32,Female,Research & Development,Human Resources,2,Married,6666,2,23,No,No
43,Female,Sales,Manager,5,Single,8162,4,38,No,No
59,Female,Research & Development,Laboratory Technician,4,Married,6387,4,22,Yes,No
30,Female,Sales,Sales Executive,4,Single,6077,2,3,Yes,No
49,Female,Research & Development,Laboratory Technician,2,Single,7592,3,3,No,No
56,Female,Sales,Manager,5,Married,6475,4,29,No,No
49,Male,Sales,Laboratory Technician,3,Married,3569,1,27,Yes,No
21,Male,Research & Development,Laboratory Technician,4,Single,4001,2,30,No,No
47,Male,Sales,Human Resources,5,Single,10191,3,32,No,No
54,Female,Sales,Laboratory Technician,5,Married,14042,4,18,No,No
40,Male,Human Resources,Human Resources,1,Married,7840,2,9,No,No
56,Female,Human Resources,Human Resources,2,Married,3478,3,24,Yes,No
32,Male,Research & Development,Research Scientist,5,Single,10747,1,36,No,No
46,Female,Sales,Manager,3,Married,4924,4,12,No,No
53,Female,Sales,Human Resources,4,Married,7062,4,5,No,No
30,Male,Research & Development,Laboratory Technician,1,Married,5948,1,29,No,No
49,Female,Sales,Human Resources,3,Divorced,6464,4,22,No,No
24,Male,Human Resources,Human Resources,4,Divorced,4899,3,35,Yes,No
39,Male,Sales,Human Resources,2,Single,9244,4,15,No,No
45,Female,Human Resources,Sales Executive,3,Single,5538,2,7,No,No
19,Male,Research & Development,Sales Executive,4,Single,7531,1,15,Yes,Yes
59,Female,Research & Development,Sales Executive,1,Single,7477,2,10,Yes,No
23,Male,Sales,Sales Executive,4,Divorced,5723,4,0,Yes,No
45,Male,Research & Development,Research Scientist,5,Divorced,2238,2,21,No,No
45,Female,Sales,Human Resources,1,Single,3931,3,17,Yes,No
37,Male,Research & Development,Research Scientist,3,Married,7779,2,35,No,No
47,Female,Research & Development,Laboratory Technician,2,Married,6768,3,10,Yes,No
28,Female,Sales,Manager,1,Single,3962,3,19,Yes,Yes
45,Male,Research & Development,Research Scientist,1,Married,6109,3,9,No,No
42,Male,Research & Development,Sales Executive,1,Divorced,6524,1,9,No,No
56,Male,Sales,Sales Executive,4,Single,7456,2,36,No,No
50,Male,Research & Development,Laboratory Technician,5,Single,10550,3,21,Yes,No
18,Male,Sales,Human Resources,2,Single,292,3,10,Yes,No
44,Male,Sales,Manager,2,Single,9026,2,34,Yes,No
30,Male,Research & Development,Research Scientist,5,Single,6542,4,8,No,No
58,Male,Research & Development,Human Resources,4,Married,3424,1,14,No,No
20,Female,Sales,Human Resources,4,Married,6412,3,18,No,No
56,Female,Research & Development,Research Scientist,5,Married,9616,4,36,No,No
23,Female,Research & Development,Research Scientist,5,Single,10364,4,5,No,Yes
25,Male,Research & Development,Research Scientist,3,Single,3447,4,35,No,No
44,Female,Research & Development,Research Scientist,4,Married,3878,3,4,No,No
26,Male,Sales,Sales Executive,1,Married,2767,3,2,No,No
54,Female,Research & Development,Human Resources,2,Single,6582,3,9,No,No
50,Female,Research & Development,Human Resources,4,Single,6705,2,12,No,No
59,Male,Sales,Sales Executive,5,Married,8468,3,3,No,No
41,Female,Research & Development,Human Resources,1,Single,7103,1,39,No,No
32,Female,Sales,Research Scientist,3,Single,8233,2,32,No,No
49,Female,Sales,Manager,3,Married,2532,1,33,No,No
49,Female,Research & Development,Human Resources,1,Single,10381,4,35,No,No
41,Male,Research & Development,Manager,1,Single,9243,2,32,No,No
58,Male,Research & Development,Manager,5,Married,4677,2,20,No,No
29,Male,Research & Development,Sales Executive,5,Married,4031,2,38,No,Yes
56,Female,Human Resources,Laboratory Technician,2,Married,7865,1,4,No,No
19,Male,Research & Development,Human Resources,2,Divorced,2095,1,12,Yes,No
20,Female,Research & Development,Sales Executive,3,Single,4161,4,39,Yes,No
54,Male,Sales,Sales Executive,1,Single,3430,3,16,No,No
34,Male,Sales,Manager,3,Married,5757,1,9,No,Yes
19,Male,Sales,Human Resources,5,Married,4890,4,9,No,No
19,Female,Research & Development,Sales Executive,4,Single,4036,3,1,Yes,No
45,Male,Research & Development,Research Scientist,5,Single,3790,2,37,No,No
40,Male,Sales,Sales Executive,4,Single,4402,3,20,No,No
54,Male,Sales,Research Scientist,1,Married,3024,1,0,No,No
49,Male,Sales,Laboratory Technician,1,Single,7356,4,29,No,No
50,Male,Sales,Research Scientist,1,Divorced,8815,2,17,No,No
18,Female,Human Resources,Research Scientist,2,Single,7003,2,34,No,No
36,Male,Research & Development,Manager,2,Divorced,9457,3,38,Yes,No
19,Male,Sales,Sales Executive,4,Married,3898,3,21,No,No
43,Female,Research & Development,Laboratory Technician,3,Married,4128,1,2,Yes,No
49,Female,Research & Development,Sales Executive,3,Married,7105,2,5,No,No
23,Female,Research & Development,Research Scientist,4,Married,7430,3,35,No,No
49,Male,Sales,Research Scientist,2,Single,6038,2,15,Yes,No
21,Female,Research & Development,Sales Executive,5,Single,5937,4,2,No,No
28,Female,Sales,Laboratory Technician,4,Married,3334,4,35,No,No
34,Female,Research & Development,Laboratory Technician,3,Married,-651,1,10,Yes,Yes
55,Male,Research & Development,Manager,4,Married,7393,2,16,No,No
41,Female,Research & Development,Research Scientist,4,Married,8454,3,18,No,No
22,Female,Sales,Research Scientist,1,Married,4909,4,7,No,No
51,Male,Sales,Manager,2,Married,4619,4,13,Yes,Yes
23,Male,Sales,Sales Executive,1,Married,4353,1,25,No,No
39,Female,Human Resources,Research Scientist,2,Married,5062,4,24,No,No
28,Female,Sales,Sales Executive,4,Married,8515,1,9,No,No
33,Male,Sales,Laboratory Technician,2,Married,3663,2,31,No,Yes
50,Female,Human Resources,Human Resources,3,Married,7613,3,14,Yes,No
26,Male,Research & Development,Manager,1,Married,4755,2,3,No,No
23,Male,Research & Development,Research Scientist,4,Married,1014,2,27,No,No
33,Female,Sales,Manager,3,Married,5141,2,3,No,No
46,Male,Research & Development,Laboratory Technician,2,Single,10098,3,12,No,No
20,Male,Sales,Laboratory Technician,2,Divorced,4286,2,11,No,No
37,Female,Research & Development,Laboratory Technician,3,Single,5406,2,14,No,No
53,Male,Sales,Laboratory Technician,2,Single,6020,1,28,No,No
36,Male,Research & Development,Human Resources,1,Single,6493,1,22,Yes,No
43,Female,Research & Development,Sales Executive,5,Single,9855,1,12,No,No
20,Female,Research & Development,Sales Executive,2,Married,4017,3,37,No,No
36,Female,Research & Development,Human Resources,4,Married,6026,4,34,Yes,No
37,Female,Sales,Sales Executive,2,Married,7896,4,39,Yes,No
49,Male,Sales,Laboratory Technician,4,Single,4214,2,11,No,No
24,Female,Research & Development,Sales Executive,2,Single,6182,4,29,No,No
58,Male,Research & Development,Manager,2,Single,8455,2,4,No,No
50,Female,Human Resources,Sales Executive,4,Married,4700,1,1,Yes,Yes
57,Male,Research & Development,Manager,1,Married,5566,2,29,No,No
56,Female,Research & Development,Research Scientist,5,Married,3121,3,34,Yes,No
35,Male,Research & Development,Manager,5,Single,8367,4,9,Yes,No
57,Male,Sales,Manager,1,Divorced,6396,2,8,Yes,Yes
18,Female,Research & Development,Laboratory Technician,2,Single,4936,1,16,No,No
28,Female,Sales,Laboratory Technician,5,Married,5229,3,37,No,No
45,Female,Sales,Laboratory Technician,1,Married,5977,2,29,Yes,No
42,Male,Research & Development,Manager,1,Single,6835,2,34,Yes,No
40,Male,Research & Development,Human Resources,5,Single,4368,2,6,No,No
48,Female,Research & Development,Laboratory Technician,4,Single,4564,3,11,No,Yes
47,Female,Research & Development,Laboratory Technician,3,Married,5341,2,33,No,No
59,Female,Research & Development,Manager,4,Married,6377,1,2,No,No
52,Female,Sales,Research Scientist,2,Married,10014,1,32,No,No
24,Female,Research & Development,Research Scientist,4,Married,3993,1,39,No,No
33,Female,Research & Development,Sales Executive,3,Married,1867,1,12,No,No
43,Female,Research & Development,Research Scientist,3,Married,9499,3,10,No,No
19,Female,Sales,Laboratory Technician,1,Divorced,3805,1,39,No,No
18,Female,Sales,Human Resources,2,Single,9668,1,19,No,No
29,Female,Research & Development,Sales Executive,1,Single,9108,4,30,Yes,No
22,Female,Research & Development,Human Resources,4,Married,7360,1,32,No,No
54,Female,Research & Development,Human Resources,4,Divorced,9038,3,33,No,No
49,Male,Research & Development,Laboratory Technician,5,Divorced,1421,4,8,No,No
26,Male,Human Resources,Manager,1,Married,2619,4,6,No,No
58,Female,Human Resources,Manager,1,Single,6710,3,8,No,No
52,Female,Research & Development,Manager,1,Single,5033,4,25,No,No
36,Female,Research & Development,Research Scientist,1,Divorced,4037,2,1,Yes,No
33,Female,Sales,Manager,3,Married,8019,1,4,No,No
20,Female,Research & Development,Laboratory Technician,5,Single,6643,2,1,No,No
37,Male,Research & Development,Research Scientist,2,Divorced,8623,3,9,Yes,No
41,Female,Human Resources,Manager,2,Single,5070,2,30,No,No
50,Female,Sales,Human Resources,2,Married,5958,3,32,No,No
41,Male,Research & Development,Laboratory Technician,3,Married,9849,2,5,No,No
28,Male,Research & Development,Laboratory Technician,5,Single,2791,1,13,No,Yes
25,Male,Research & Development,Sales Executive,5,Single,5784,3,13,No,No
53,Male,Sales,Laboratory Technician,3,Single,3813,3,14,No,No
55,Male,Research & Development,Human Resources,1,Married,10238,3,32,No,No
57,Male,Research & Development,Laboratory Technician,4,Married,12014,4,30,Yes,No
37,Male,Research & Development,Sales Executive,1,Single,6524,1,16,No,Yes
52,Male,Sales,Laboratory Technician,2,Divorced,7231,4,14,No,No
42,Male,Research & Development,Laboratory Technician,1,Single,5740,4,19,No,No
52,Female,Sales,Sales Executive,3,Single,5644,1,20,No,No
42,Female,Sales,Laboratory Technician,2,Single,6208,3,28,Yes,No
46,Female,Research & Development,Research Scientist,4,Single,2627,4,8,No,No
35,Male,Research & Development,Laboratory Technician,2,Divorced,7650,4,28,No,Yes
35,Male,Research & Development,Manager,1,Single,3536,3,33,Yes,No
19,Male,Research & Development,Manager,5,Married,5115,1,8,Yes,Yes
52,Male,Sales,Research Scientist,5,Married,6082,1,29,No,No
33,Male,Research & Development,Laboratory Technician,5,Married,4094,1,16,Yes,Yes
58,Male,Sales,Human Resources,2,Single,7494,4,3,No,No
53,Male,Human Resources,Laboratory Technician,5,Married,4811,1,39,Yes,No
50,Female,Research & Development,Manager,3,Married,8663,1,31,No,No
21,Male,Research & Development,Sales Executive,4,Single,3821,4,31,No,No
50,Male,Research & Development,Research Scientist,5,Married,5582,1,6,No,No
31,Female,Research & Development,Sales Executive,3,Divorced,3320,2,37,Yes,Yes
38,Male,Research & Development,Human Resources,3,Married,8456,1,31,No,No
37,Male,Sales,Laboratory Technician,2,Married,5222,1,4,No,No
25,Female,Sales,Human Resources,2,Divorced,4607,3,2,No,Yes
24,Female,Research & Development,Sales Executive,4,Married,5525,4,19,No,No
20,Female,Human Resources,Laboratory Technician,4,Single,5726,3,16,No,No
34,Male,Sales,Human Resources,1,Single,7013,2,15,No,No
50,Male,Sales,Manager,4,Married,7347,1,10,No,No
29,Male,Research & Development,Manager,2,Single,5621,3,12,No,Yes
39,Male,Research & Development,Research Scientist,3,Divorced,5902,3,17,Yes,No
39,Female,Sales,Manager,1,Married,-1767,2,13,Yes,Yes
47,Female,Sales,Manager,4,Married,4869,1,33,No,No
55,Male,Research & Development,Sales Executive,3,Married,9576,3,11,Yes,No
55,Female,Research & Development,Manager,2,Married,7121,1,21,No,No
25,Male,Sales,Manager,5,Single,3317,2,20,No,No
44,Female,Sales,Sales Executive,1,Single,5031,2,25,No,No
44,Male,Research & Development,Manager,3,Married,4508,1,38,No,No
51,Male,Research & Development,Manager,2,Married,8675,2,1,No,No
38,Male,Human Resources,Research Scientist,2,Married,8421,4,15,No,No
47,Female,Research & Development,Manager,1,Single,4047,3,33,No,No
50,Female,Sales,Manager,1,Single,6024,4,10,No,No
45,Male,Research & Development,Research Scientist,4,Married,3165,4,18,No,No
50,Male,Research & Development,Sales Executive,4,Divorced,4433,2,29,No,No
22,Male,Sales,Manager,1,Single,4525,2,6,Yes,No
36,Male,Human Resources,Human Resources,1,Married,4244,1,26,Yes,Yes
21,Female,Research & Development,Sales Executive,3,Married,6915,4,21,No,Yes
52,Male,Sales,Sales Executive,4,Married,9372,3,16,No,No
34,Male,Sales,Manager,2,Married,5849,1,14,No,No
45,Female,Sales,Research Scientist,4,Single,3362,1,8,No,Yes
47,Male,Sales,Sales Executive,4,Married,6520,1,11,No,No
46,Female,Research & Development,Research Scientist,1,Single,6523,2,7,No,No
23,Female,Research & Development,Human Resources,1,Single,5528,2,1,Yes,Yes
52,Male,Human Resources,Research Scientist,4,Married,10647,1,15,No,No
58,Female,Sales,Laboratory Technician,5,Single,6610,2,2,Yes,No
54,Female,Research & Development,Research Scientist,5,Married,7434,2,30,No,No
41,Male,Research & Development,Sales Executive,4,Single,394,1,25,No,No
46,Male,Research & Development,Research Scientist,5,Married,3592,3,1,No,No
48,Male,Sales,Research Scientist,4,Single,7284,3,29,Yes,No
52,Female,Sales,Laboratory Technician,1,Married,6709,2,12,No,No
50,Female,Sales,Laboratory Technician,1,Married,5053,3,36,No,No
38,Female,Human Resources,Manager,1,Divorced,7133,3,13,No,No
49,Female,Human Resources,Sales Executive,2,Divorced,8318,2,0,No,Yes
40,Female,Human Resources,Manager,1,Single,4817,3,31,No,No
50,Female,Research & Development,Laboratory Technician,1,Single,4442,2,5,Yes,No
20,Male,Sales,Research Scientist,4,Married,5360,4,21,No,Yes
35,Male,Human Resources,Laboratory Technician,5,Married,7245,1,10,Yes,Yes
42,Male,Human Resources,Human Resources,5,Single,4568,3,22,Yes,No
59,Female,Sales,Research Scientist,1,Single,8132,1,13,No,No
48,Male,Sales,Manager,1,Married,4794,1,13,No,Yes
20,Male,Research & Development,Research Scientist,1,Divorced,4601,2,19,Yes,No
57,Male,Sales,Human Resources,4,Divorced,11866,3,6,Yes,No
41,Male,Sales,Laboratory Technician,4,Single,2913,3,18,No,No
49,Female,Human Resources,Sales Executive,4,Single,7954,4,25,No,No
39,Male,Human Resources,Sales Executive,5,Single,1483,3,21,Yes,No
40,Female,Sales,Sales Executive,2,Married,7645,3,5,Yes,No
19,Male,Research & Development,Laboratory Technician,5,Married,12729,2,12,No,Yes
44,Female,Research & Development,Sales Executive,4,Married,8642,1,9,No,No
59,Male,Research & Development,Human Resources,3,Married,9345,4,18,No,No
19,Male,Sales,Laboratory Technician,2,Single,5759,3,30,No,No
43,Female,Research & Development,Sales Executive,1,Single,8355,3,9,No,No
34,Male,Research & Development,Manager,5,Divorced,6621,4,36,No,No
57,Male,Human Resources,Laboratory Technician,2,Single,11064,2,12,Yes,No
50,Male,Sales,Laboratory Technician,3,Single,3233,3,16,No,No
26,Male,Sales,Research Scientist,2,Married,8968,3,4,Yes,Yes
56,Male,Human Resources,Sales Executive,5,Married,7069,4,20,No,No
46,Male,Sales,Manager,4,Divorced,3717,1,38,Yes,No
59,Female,Research & Development,Human Resources,1,Single,5313,3,19,No,No
43,Female,Sales,Laboratory Technician,4,Married,1997,3,6,No,No
52,Male,Sales,Human Resources,4,Married,-2162,1,14,No,No
42,Female,Research & Development,Human Resources,5,Divorced,3001,3,14,No,No
41,Male,Sales,Human Resources,4,Married,5029,1,22,No,No
30,Female,Human Resources,Research Scientist,4,Married,6202,2,32,No,No
24,Female,Sales,Human Resources,5,Single,2725,1,1,No,No
53,Female,Research & Development,Sales Executive,5,Married,5208,1,31,Yes,No
37,Male,Research & Development,Sales Executive,3,Married,6591,3,14,Yes,No
18,Male,Sales,Manager,4,Single,4558,3,6,Yes,No
25,Male,Research & Development,Manager,2,Single,3297,4,8,No,No
33,Male,Sales,Human Resources,1,Married,4171,3,27,No,No
31,Male,Research & Development,Human Resources,1,Single,9341,3,21,No,Yes
29,Male,Research & Development,Research Scientist,5,Married,1683,1,2,No,No
40,Male,Sales,Human Resources,5,Married,8885,2,1,No,No
32,Male,Research & Development,Human Resources,3,Single,9413,3,21,No,No
45,Female,Research & Development,Human Resources,4,Married,5109,1,24,No,No
51,Female,Human Resources,Laboratory Technician,5,Single,7150,4,24,No,No
19,Female,Sales,Laboratory Technician,5,Married,4047,4,31,Yes,No
49,Male,Research & Development,Research Scientist,1,Married,6669,2,6,No,No
40,Female,Sales,Research Scientist,4,Married,11566,2,30,No,No
39,Female,Research & Development,Sales Executive,3,Married,9177,2,36,No,No
42,Male,Sales,Research Scientist,5,Married,4741,1,3,No,No
39,Male,Research & Development,Sales Executive,5,Married,2701,3,32,No,No
39,Female,Sales,Human Resources,5,Married,5265,1,14,No,No
59,Male,Research & Development,Research Scientist,1,Married,6683,4,8,No,No
23,Male,Research & Development,Research Scientist,5,Married,7804,4,5,No,No
32,Male,Research & Development,Research Scientist,5,Single,5726,3,30,Yes,No
54,Male,Research & Development,Sales Executive,1,Married,10465,2,33,Yes,No
50,Female,Research & Development,Sales Executive,5,Married,6081,4,37,No,No
25,Female,Research & Development,Manager,4,Single,4811,2,12,Yes,No
22,Male,Research & Development,Sales Executive,4,Divorced,7311,1,35,No,Yes
56,Male,Human Resources,Sales Executive,1,Single,7750,2,31,No,No
21,Female,Research & Development,Laboratory Technician,4,Divorced,4092,1,21,Yes,No
23,Female,Research & Development,Research Scientist,3,Single,3653,3,28,No,No
49,Male,Sales,Sales Executive,5,Married,1895,2,10,No,No
47,Female,Research & Development,Research Scientist,3,Married,5277,3,5,Yes,No
52,Male,Sales,Research Scientist,4,Married,9041,2,4,No,No
57,Male,Research & Development,Laboratory Technician,1,Single,7665,4,0,No,No
33,Female,Research & Development,Research Scientist,1,Single,8809,3,38,No,No
30,Male,Human Resources,Sales Executive,3,Single,4364,2,9,No,No
59,Female,Sales,Research Scientist,4,Married,5591,3,9,Yes,No
47,Female,Sales,Manager,5,Single,1235,2,23,No,No
36,Female,Research & Development,Manager,4,Married,8519,1,6,Yes,No
34,Male,Sales,Laboratory Technician,4,Married,9356,3,21,Yes,No
36,Male,Research & Development,Sales Executive,1,Divorced,3333,4,20,No,No
45,Male,Research & Development,Laboratory Technician,2,Single,10064,3,21,Yes,No
43,Male,Research & Development,Manager,5,Married,5413,1,32,Yes,No
54,Female,Sales,Sales Executive,5,Single,3291,1,24,No,No
43,Female,Research & Development,Research Scientist,1,Married,5210,4,30,No,No
40,Female,Sales,Sales Executive,4,Married,7571,1,15,Yes,No
26,Female,Research & Development,Human Resources,1,Single,5865,4,14,No,No
29,Female,Sales,Sales Executive,4,Single,4554,2,28,Yes,No
18,Male,Research & Development,Research Scientist,2,Married,7480,1,18,No,No
18,Male,Sales,Human Resources,2,Married,7711,2,16,No,No
51,Female,Research & Development,Laboratory Technician,3,Divorced,5565,2,25,No,No
49,Male,Sales,Sales Executive,4,Single,5108,1,35,No,No
42,Male,Research & Development,Laboratory Technician,1,Divorced,4635,4,35,Yes,No
57,Male,Research & Development,Sales Executive,1,Married,7196,4,34,Yes,No
18,Female,Sales,Manager,1,Divorced,1989,4,39,No,No
33,Male,Research & Development,Manager,3,Married,4093,1,22,No,No
56,Female,Research & Development,Research Scientist,5,Married,5594,2,8,No,No
22,Female,Sales,Manager,1,Single,4029,3,33,No,No
39,Male,Sales,Human Resources,2,Married,6634,3,17,Yes,No
46,Male,Research & Development,Human Resources,1,Single,6408,1,15,No,No
